Damage,Bonus,Explosion,Direct,Total,,,,
Base,N/A,144,22,166,,,,
Post-death,22%,175,27,202,,,,
Empowering,20%,173,27,200,,,,
Charged with Light,20%,173,27,200,,,,
Inertia Override,20%,173,27,200,,,,
Well,25%,180,27,207,,,,
Weapons of Light,34%,194,29,223,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Element,Super,Explosion,Direct,Total,Reduction,,,
Solar,Daybreak,71,11,82,51%,,,
,well,144,22,166,0%,,,
,Well sword,116,18,134,19%,,,
Arc,Stormtrance,68,11,79,52%,,,
,Chaos Reach,87,14,101,39%,,,
Void,Nova Bomb,144,22,166,0%,,,
,Nova Warp,71,11,82,51%,,,
Stasis,Shadebinder,71,11,82,51%,,,
,Shade Whisper of Chains,53,9,62,63%,,,
,Normal Whisper of Chains,108,17,125,25%,,,
,,,,,,,,
Element,Super,Explosion,Direct,Total,Reduction,,,
Solar,Golden Gun,144,22,166,0%,,,
,Blade Barrage,74,12,86,48%,,,
Arc,Arcstaff,68,11,79,52%,,,
,Arcstaff Reflection,144,22,166,0%,,,
,Lighting Reflexes,98,15,113,32%,,,
Void,Spectral Blades,70,11,81,51%,,,
,Spectral Blades (invis),66,11,77,54%,,,
,Shadowshot (roaming),68,11,79,52%,,,
,Shadowshot (single),68,11,79,52%,,,
,Tether,144,22,166,0%,,,
Stasis,Revanant,68,11,79,48%,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Element,Super,Explosion,Direct,Total,Reduction,,,
Solar,Hammer of Sol,71,11,82,51%,,,
,Burning Maul,68,11,79,52%,,,
Arc,Fist of Havoc,68,11,79,52%,,,
,Thundercrash,48,11,59,64%,,,
Void,Sentinel Shield,68,11,79,52%,,,
,Armor of Light,116,22,138,17%,,,
Stasis,Behemoth,58,9,67,60%,,,
,,,,,,,,
,,,,,,,,
Element,Super,Explosion,Direct,Total,# to break,,,
Stasis,Frozen Target,216,,216,1,,,
,Glacier Frozen Target,216,,216,1,,,
,Glacier (no target),,,,0,,,
Titans,Barricade,188,29,217,0,,,
,Through Damage,116,,116,0.537037037,,,
,Bubble,360,55,415,1.921296296,,,
,,,,,,,,
,Primary weapons don't damage bubbles,,,,,,,
,,,,,,,,
,Murphy's Reel,,,,,,,
,Goo154,,,,,,,
,,,,,,,,
,2x primary,,,,special,,,
,no reserves,1x,2x,no reserves,1x,2x,,
no scav,13,,16,26,,30,,
1x,,,,,,,,
2x,15,,,26,,30,,
